time_us,encoder_value
12402191, 852406
12412200, 853329
12422210, 854250
12432220, 855173
12442230, 856097
12452239, 857021
12462249, 857948
12472259, 858873
12482269, 859798
12492279, 860719
12502288, 861644
12512298, 862568
12522308, 863490
12532318, 864415
12542327, 865341
12552337, 866266
12562347, 867192
12572357, 868116
12582366, 869037
12592376, 869965
12602386, 870890
12612396, 871814
12622406, 872741
12632415, 873666
12642425, 874592
12652435, 875517
12662445, 876441
12672454, 877364
12682464, 878289
12692474, 879217
12702484, 880142
12712493, 881069
12722503, 881995
12732513, 882921
12742523, 883845
12752532, 884767
12762542, 885693
12772552, 886618
12782562, 887543
12792572, 888470
12802581, 889398
12812591, 890324
12822601, 891250
12832611, 892175
12842620, 893097
12852630, 894023
12862640, 894947
12872650, 895873
12882659, 896801
12892669, 897729
12902679, 898658
12912689, 899585
12922698, 900510
12932708, 901432
12942718, 902357
12952728, 903282
12962738, 904207
12972747, 905134
12982757, 906062
12992767, 906991
13002777, 907920
13012786, 908847
13022796, 909770
13032806, 910697
13042816, 911621
13052825, 912547
13062835, 913475
13082855, 915332
13092864, 916261
13102874, 917188
13112884, 918112
13122894, 919041
13132904, 919968
13142913, 920894
13152923, 921822
13162933, 922751
13172943, 923680
13182952, 924608
13192962, 925536
13202972, 926460
13212982, 927389
13222991, 928319
13233001, 929246
13243011, 930175
13253021, 931104
13263031, 932032
13273040, 932961
13283050, 933887
13293060, 934816
13303070, 935743
13313079, 936672
13323089, 937601
13333099, 938532
13343109, 939462
13353118, 940393
13363128, 941320
13373138, 942245
13383148, 943174
13393157, 944100
13403167, 945030
13413177, 945959
13423187, 946891
13433197, 947824
13443206, 948755
13453216, 949683
13463226, 950609
13473236, 951538
13483245, 952465
13493255, 953394
13503265, 954323
13513275, 955255
13523284, 956187
13533294, 957118
13543304, 958049
13553314, 958974
13563323, 959904
13573333, 960834
13583343, 961760
13593353, 962691
13603363, 963623
13613372, 964555
13623382, 965487
13633392, 966417
13643402, 967343
13653411, 968276
13663421, 969207
13673431, 970136
13683441, 971067
13693450, 971997
13703460, 972929
13713470, 973860
13723480, 974789
13733489, 975721
13743499, 976651
13753509, 977582
13763519, 978514
13773529, 979448
13783538, 980380
13793548, 981312
13803558, 982241
13813568, 983168
13823577, 984099
13833587, 985029
13843597, 985960
13853607, 986891
13863616, 987826
13873626, 988762
13883636, 989695
13893646, 990626
13903656, 991552
13913665, 992484
13923675, 993413
13933685, 994346
13943695, 995277
13953704, 996212
13963714, 997147
13973724, 998081
13983734, 999015
13993743, 999943
14003753, 1000876
14013763, 1001808
14023773, 1002738
14033782, 1003672
14043792, 1004606
14053802, 1005540
14063812, 1006474
14073822, 1007407
14083831, 1008336
14093841, 1009271
14103851, 1010206
14113861, 1011137
14123870, 1012071
14133880, 1013004
14143890, 1013937
14153900, 1014870
14163909, 1015800
14173919, 1016734
14183929, 1017666
14193939, 1018599
14203948, 1019533
14213958, 1020470
14223968, 1021404
14233978, 1022338
14243988, 1023270
14253997, 1024200
14264007, 1025133
14274017, 1026064
14284027, 1026998
14294036, 1027933
14304046, 1028868
14314056, 1029805
14324066, 1030742
14334075, 1031675
14344085, 1032606
14354095, 1033539
14364105, 1034469
14374114, 1035403
14384124, 1036337
14394134, 1037271
14404144, 1038207
14414154, 1039143
14424163, 1040077
14434173, 1041009
14444183, 1041945
14454193, 1042878
14464202, 1043811
14474212, 1044746
14484222, 1045681
14494232, 1046616
14504241, 1047551
14514251, 1048484
14524261, 1049416
14534271, 1050349
14544281, 1051286
14554290, 1052222
14564300, 1053159
14574310, 1054095
14584320, 1055031
14594329, 1055964
14604339, 1056894
14614349, 1057829
14624359, 1058761
14634368, 1059696
14644378, 1060630
14654388, 1061567
14664398, 1062505
14674407, 1063441
14684417, 1064376
14694427, 1065307
14704437, 1066241
14714447, 1067174
14724456, 1068108
14734466, 1069041
14744476, 1069979
14754486, 1070917
14764495, 1071853
14774505, 1072789
14784515, 1073720
14794525, 1074656
14804534, 1075591
14814544, 1076524
14824554, 1077460
14834564, 1078396
14844573, 1079333
14854583, 1080268
14864593, 1081204
14874603, 1082140
14884613, 1083074
14894622, 1084013
14904632, 1084948
14914642, 1085884
14924652, 1086822
14934661, 1087759
14944671, 1088694
14954681, 1089626
14964691, 1090559
14974700, 1091493
14984710, 1092430
14994720, 1093366
15004730, 1094306
15014739, 1095246
15024749, 1096183
15034759, 1097119
15044769, 1098050
15054779, 1098985
15064788, 1099918
15074798, 1100853
15084808, 1101788
15094818, 1102726
15104827, 1103664
15114837, 1104602
15124847, 1105540
15134857, 1106472
15144866, 1107410
15154876, 1108346
15164886, 1109279
15174896, 1110216
15184906, 1111155
15194915, 1112093
15204925, 1113029
15214935, 1113965
15224945, 1114900
15234954, 1115836
15244964, 1116774
15254974, 1117710
15264984, 1118646
15274993, 1119585
15285003, 1120522
15295013, 1121460
15305023, 1122394
15315032, 1123331
15325042, 1124267
15335052, 1125204
15345062, 1126140
15355072, 1127081
15365081, 1128022
15375091, 1128961
15385101, 1129897
15395111, 1130830
15405120, 1131765
15415130, 1132700
15425140, 1133636
15435150, 1134573
15445159, 1135511
15455169, 1136452
15465179, 1137391
15475189, 1138331
15485198, 1139264
15495208, 1140204
15505218, 1141140
15515228, 1142075
15525238, 1143013
15535247, 1143952
15545257, 1144891
15555267, 1145827
15565277, 1146764
15575286, 1147700
15585296, 1148637
15595306, 1149575
15605316, 1150513
15615325, 1151451
15625335, 1152391
15635345, 1153330
15645355, 1154268
15655364, 1155202
15665374, 1156139
15675384, 1157075
15685394, 1158014
15695404, 1158954
15705413, 1159894
15715423, 1160835
15725433, 1161776
15735443, 1162714
15745452, 1163648
15755462, 1164586
15765472, 1165521
15775482, 1166459
15785491, 1167397
15795501, 1168336
15805511, 1169278
15815521, 1170218
15825531, 1171156
15835540, 1172091
15845550, 1173033
15855560, 1173969
15865570, 1174907
15875579, 1175847
15885589, 1176787
15895599, 1177727
15905609, 1178665
15915618, 1179601
15925628, 1180538
15935638, 1181476
15945648, 1182415
15955657, 1183356
15965667, 1184298
15975677, 1185239
15985687, 1186179
15995697, 1187118
16005706, 1188053
16015716, 1188993
16025726, 1189929
16035736, 1190868
16045745, 1191808
16055755, 1192749
16065765, 1193691
16075775, 1194634
16085784, 1195574
16095794, 1196509
16105804, 1197450
16115814, 1198386
16125823, 1199325
16135833, 1200265
16145843, 1201205
16155853, 1202146
16165863, 1203087
16175872, 1204025
16185882, 1204961
16195892, 1205904
16205902, 1206843
16215911, 1207782
16225921, 1208723
16235931, 1209665
16245941, 1210605
16255950, 1211545
16265960, 1212482
16275970, 1213421
16285980, 1214360
16295989, 1215301
16305999, 1216241
16316009, 1217185
16326019, 1218128
16336029, 1219071
16346038, 1220009
16356048, 1220945
16366058, 1221884
16376068, 1222822
16386077, 1223762
16396087, 1224700
16406097, 1225644
16416107, 1226587
16426116, 1227529
16436126, 1228469
16446136, 1229405
16456146, 1230348
16466156, 1231286
16476165, 1232225
16486175, 1233164
16496185, 1234105
16506195, 1235048
16516204, 1235987
16526214, 1236925
16536224, 1237865
16546234, 1238805
16556243, 1239744
16566253, 1240686
16576263, 1241629
16586273, 1242572
16596282, 1243514
16606292, 1244454
16616302, 1245387
16626312, 1246328
16636322, 1247265
16646331, 1248204
16656341, 1249145
16666351, 1250087
16676361, 1251030
16686370, 1251974
16696380, 1252915
16706390, 1253850
16716400, 1254790
16726409, 1255730
16736419, 1256669
16746429, 1257610
16756439, 1258552
16766448, 1259493
16776458, 1260435
16786468, 1261374
16796478, 1262311
16806488, 1263254
16816497, 1264194
16826507, 1265134
16836517, 1266076
16846527, 1267018
16856536, 1267959
16866546, 1268899
16876556, 1269836
16886566, 1270773
16896575, 1271713
16906585, 1272654
16916595, 1273595
16926605, 1274539
16936614, 1275483
16946624, 1276426
16956634, 1277365
16966644, 1278302
16976654, 1279242
16986663, 1280180
16996673, 1281121
17006683, 1282060
17016693, 1283002
17026702, 1283946
17036712, 1284889
17046722, 1285830
17056732, 1286768
17066741, 1287712
17086761, 1289592
17096771, 1290535
17106781, 1291477
17116790, 1292420
17126800, 1293361
17136810, 1294299
17146820, 1295239
17156829, 1296180
17166839, 1297122
17176849, 1298065
17186859, 1299010
17196868, 1299953
17206878, 1300896
17216888, 1301837
17226898, 1302774
17236907, 1303715
17246917, 1304654
