time_us,encoder_value
6806762, 351066
6816772, 351888
6826782, 352711
6836791, 353534
6846801, 354359
6856811, 355186
6866821, 356012
6876831, 356836
6886840, 357662
6896850, 358487
6906860, 359318
6916870, 360146
6926879, 360973
6936889, 361801
6946899, 362629
6956909, 363459
6966918, 364291
6976928, 365121
6986938, 365948
6996948, 366776
7006958, 367611
7016967, 368445
7026977, 369276
7036987, 370106
7046997, 370938
7057006, 371772
7067016, 372606
7077026, 373441
7087036, 374273
7097045, 375106
7107055, 375940
7117065, 376777
7127075, 377614
7137084, 378448
7147094, 379284
7157104, 380120
7167114, 380958
7177124, 381796
7187133, 382635
7197143, 383468
7207153, 384306
7217163, 385144
7227172, 385984
7237182, 386825
7247192, 387666
7257202, 388504
7267211, 389343
7277221, 390184
7287231, 391028
7297241, 391870
7307250, 392711
7317260, 393552
7327270, 394392
7337280, 395236
7347290, 396081
7357299, 396924
7367309, 397766
7377319, 398608
7387329, 399451
7397338, 400298
7407348, 401145
7417358, 401990
7427368, 402833
7437377, 403677
7447387, 404526
7457397, 405375
7467407, 406224
7477416, 407071
7487426, 407914
7497436, 408762
7507446, 409613
7517456, 410463
7527465, 411311
7537475, 412160
7547485, 413009
7557495, 413857
7567504, 414708
7577514, 415561
7587524, 416411
7597534, 417261
7607543, 418112
7617553, 418963
7627563, 419816
7637573, 420672
7647583, 421525
7657592, 422376
7667602, 423229
7677612, 424079
7687622, 424935
7697631, 425793
7707641, 426647
7717651, 427501
7727661, 428356
7737670, 429212
7747680, 430069
7757690, 430927
7767700, 431783
7777709, 432636
7787719, 433492
7797729, 434350
7807739, 435209
7817749, 436069
7827758, 436928
7837768, 437787
7847778, 438644
7857788, 439502
7867797, 440362
7877807, 441223
7887817, 442085
7897827, 442945
7907836, 443804
7917846, 444665
7927856, 445528
7937866, 446391
7947875, 447256
7957885, 448117
7967895, 448976
7977905, 449840
7987915, 450702
7997924, 451567
8007934, 452433
8017944, 453298
8027954, 454163
8037963, 455027
8047973, 455891
8057983, 456756
8067993, 457621
8088012, 459355
8098022, 460219
8108032, 461086
8118041, 461954
8128051, 462823
8138061, 463694
8148071, 464562
8158081, 465426
8168090, 466294
8178100, 467162
8188110, 468032
8198120, 468902
8208129, 469775
8218139, 470645
8228149, 471513
8238159, 472382
8248168, 473250
8258178, 474122
8268188, 474996
8278198, 475867
8288208, 476738
8298217, 477608
8308227, 478481
8318237, 479354
8328247, 480228
8338256, 481102
8348266, 481972
8358276, 482846
8368286, 483718
8378295, 484591
8388305, 485467
8398315, 486342
8408325, 487219
8418334, 488095
8428344, 488968
8438354, 489842
8448364, 490717
8458374, 491594
8468383, 492471
8478393, 493349
8488403, 494227
8498413, 495103
8508422, 495980
8518432, 496855
8528442, 497732
8538452, 498609
8548461, 499489
8558471, 500367
8568481, 501244
8578491, 502122
8588500, 503001
8598510, 503881
8608520, 504762
8618530, 505644
8628540, 506521
8638549, 507401
8648559, 508279
8658569, 509159
8668579, 510041
8678588, 510924
8688598, 511809
8698608, 512690
8708618, 513570
8718627, 514448
8728637, 515329
8738647, 516212
8748657, 517095
8758666, 517980
8768676, 518863
8778686, 519747
8788696, 520629
8798706, 521513
8808715, 522394
8818725, 523279
8828735, 524165
8838745, 525049
8848754, 525934
8858764, 526819
